,ngram,count
3286,lost then how,4
6906,go said the,4
8114,girls but she,4
6901,we better go,4
6213,got a woman,4
8124,17 they're just,4
3310,the big light,4
972,yeah you're my,4
1194,your mind [verse,4
1172,for you and,4
8269,oh will this,4
1165,i i think,4
1164,me? i i,4
8270,will this help,4
5930,very very very,4
4610,for crying out,4
6214,a woman now,4
6212,oh i've got,4
8123,she's 17 they're,4
6211,and oh i've,4
1013,you she does,4
1014,she does a,4
1015,does a little,4
7477,money to spend?,4
7476,enough money to,4
2140,[chorus] yeah you,4
1048,[chorus] and now,4
1064,i want you,4
1057,the time [verse,4
8271,this help me,4
7475,got enough money,4
3309,turn the big,4
3308,go turn the,4
3968,i didn't mean,4
8112,uptight just girls,4
221,know that you,4
6900,think we better,4
522,talk so? [verse,4
2707,and how i'd,4
2706,again and how,4
2705,paris again and,4
8106,just girls breaking,4
8107,girls breaking hearts,4
8108,breaking hearts eyes,4
8109,hearts eyes bright,4
8110,eyes bright uptight,4
8111,bright uptight just,4
6766,got guns hidden,4
8122,if she's 17,4
3969,didn't mean to,4
8113,just girls but,4
6913,know seriously better,4
8115,but she can't,4
818,in my mind,4
8116,she can't be,4
8117,can't be what,4
8118,be what you,4
8119,what you need,4
8120,you need if,4
8121,need if she's,4
3306,before you go,4
6911,here you know,4
3934,it was two,4
2127,you my soul,4
1818,boyfriend anyway she's,4
1387,you feel it?,4
1386,can you feel,4
685,yeah if that's,4
7710,there somebody who,4
7709,is there somebody,4
4931,and i always,4
8305,you please listen!,4
1376,it? can you,4
6826,dressed in black,4
4579,and you're losing,4
3931,one time maybe,4
2125,can't give you,4
1819,anyway she's got,4
3930,her one time,4
3929,called her one,4
691,do oh yeah?,4
3928,only called her,4
3927,i only called,4
684,me yeah if,4
2128,my soul 'cause,4
2131,we're never alone,4
2126,give you my,4
1393,[hook] yeah so,4
4580,you're losing your,4
6830,head to toe,4
6825,we're dressed in,4
6961,you one more,4
3942,was three times,4
3941,it was three,4
7711,somebody who can,4
3940,think it was,4
3939,don't think it,4
2115,you love? get,4
3937,times? i don't,4
3936,two times? i,4
3935,was two times?,4
2114,someone you love?,4
2109,it [chorus] i,4
3654,mind inside your,4
3653,your mind inside,4
2129,soul 'cause we're,4
3970,mean to two-time,4
3933,maybe it was,4
3932,time maybe it,4
6838,you're never gonna,4
4936,sometimes i always,4
4935,die sometimes i,4
6821,with guns hidden,4
2130,'cause we're never,4
3754,and i know,4
2119,need? fuck that,4
2910,and we're socially,4
2911,we're socially relevant,4
2912,socially relevant she's,4
5643,cars bending head,4
2913,relevant she's american,4
5644,bending head cars,4
1775,and she said,4
2120,fuck that get,4
8296,young in the,4
2116,love? get someone,4
3554,dance? do you,4
3553,wanna dance? do,4
4743,"she said ""it's",4
7088,cool you look,4
4000,two-time two-time you,4
2118,you need? fuck,4
1862,you say no,4
2117,someone you need?,4
3967,times i didn't,4
3552,you wanna dance?,4
3966,three times i,4
2124,i can't give,4
3311,big light off,4
7945,for you? is,4
7946,you? is it,4
4020,time four time,4
4314,you it's not,4
6960,give you one,4
1050,now she's doing,4
4574,all over the,4
2123,money i can't,4
4019,three time four,4
4313,with you it's,4
2122,get money i,4
2121,that get money,4
3519,back to my,4
5510,while to recognize,3
8311,can see it's,3
5511,to recognize that,3
5487,fucking you're meant,3
862,i've got? we,3
5504,i lied it,3
5509,little while to,3
5502,my money i,3
5486,for fucking you're,3
5489,meant to be,3
5488,you're meant to,3
5482,don't have the,3
5483,have the capacity,3
5503,money i lied,3
5552,up giving it,3
5551,it up giving,3
5484,the capacity for,3
5485,capacity for fucking,3
8314,missing when you,3
5492,helping me when,3
5501,without my money,3
863,got? we got,3
5507,took a little,3
8316,you bleed say,3
8315,when you bleed,3
8256,my skin is,3
8257,skin is fire,3
5514,i i'm not,3
5513,that i i'm,3
5496,said i liked,3
8293,a fiver? being,3
870,said you'd had,3
871,you'd had enough,3
879,more in love,3
878,be more in,3
877,couldn't be more,3
8294,fiver? being young,3
876,i couldn't be,3
875,got? i couldn't,3
8234,i'm scared of,3
5512,recognize that i,3
5508,a little while,3
6380,city is city,3
8313,it's missing when,3
874,i've got? i,3
5497,i liked it,3
6832,toe we've got,3
6833,we've got guns,3
5499,it better without,3
8312,see it's missing,3
5500,better without my,3
8243,i a liar?,3
864,we got it,3
8310,we can see,3
5490,to be helping,3
6837,now you're never,3
5491,be helping me,3
865,got it wrong,3
866,it wrong and,3
5498,liked it better,3
8242,am i a,3
5505,lied it took,3
5493,me when i,3
5494,when i said,3
966,because you're my,3
5495,i said i,3
8319,so we know,3
8318,say so we,3
8317,bleed say so,3
867,wrong and you,3
5506,it took a,3
6381,is city is,3
1366,and he said,3
1066,a little bit,3
3982,i told her,3
2028,leaving with somebody,3
2027,then leaving with,3
2026,and then leaving,3
2025,phone and then,3
2024,your phone and,3
2023,through your phone,3
2022,looking through your,3
2021,you're looking through,3
2020,while you're looking,3
3961,boy sometimes must,3
2019,you while you're,3
2018,through you while,3
2017,looking through you,3
2016,i'm looking through,3
2015,else i'm looking,3
3965,than three times,3
3964,more than three,3
3963,must be more,3
2029,somebody else no,3
2030,else no i,3
2031,no i don't,3
7087,so cool you,3
1667,you think you're,3
3483,[chorus] yeah it,3
3495,you [verse 2],3
7713,can watch you?,3
7712,who can watch,3
7708,you is there,3
2479,i was thinking,3
2477,love you and,3
7072,he's got his,3
7660,m-o-n-e-y's me m-o-n-e-y,3
2037,body with somebody,3
2036,your body with,3
2035,picturing your body,3
2034,i'm picturing your,3
2033,but i'm picturing,3
2032,body but i'm,3
3999,to two-time two-time,3
3962,sometimes must be,3
3960,that boy sometimes,3
7010,stay stay stay,3
2004,else our love,3
2011,intertwining your soul,3
3885,i think you,3
2010,you're intertwining your,3
2009,cold you're intertwining,3
2008,gone cold you're,3
2007,has gone cold,3
2006,love has gone,3
2005,our love has,3
2003,somebody else our,3
3959,text that boy,3
2001,you with somebody,3
2000,about you with,3
1998,to think about,3
1997,hate to think,3
1996,i hate to,3
1995,but i hate,3
1994,body but i,3
1990,[chorus] i don't,3
2012,your soul with,3
2013,soul with somebody,3
2014,somebody else i'm,3
3900,eyes but i,3
3958,you text that,3
3957,rewind you text,3
3956,to rewind you,3
