,term,weight
356,second,0.0021260623880216354
265,magazine,0.0021190053129717173
48,caught,0.0020919764843363737
309,people,0.0020889776071924427
376,socially,0.002080285727487914
332,relevant,0.002080285727487914
377,socially relevant,0.002080285727487914
475,wrong,0.0020772021308193235
225,lie,0.0020675847708748023
302,old,0.0020649006137382596
473,world,0.0020376393415320634
161,human,0.002015909637536965
294,oh just change heart,0.0020151003271067507
293,oh just change,0.0020151003271067507
310,personify,0.0020009694647323485
371,showing,0.001996652269645151
463,wed,0.001992900504173698
272,matter,0.001992789622953165
181,instead,0.0019892275166996974
361,sex,0.001949852609398132
278,miss,0.0019232054261497885
423,think ive,0.0019090501545902144
308,pathetic,0.0018965106678978502
106,eyes,0.001896500829743215
75,doesnt,0.0018881112897130635
369,shit,0.0018773386433051883
394,sun,0.0018764608273996214
146,green,0.0018756148042083488
435,train,0.0018750802403400741
358,seen,0.001864114614133121
28,big light,0.001848292299763229
439,turn big light,0.001848292299763229
438,turn big,0.001848292299763229
136,going,0.001843567291867763
185,intelligent shes american,0.001829817296049112
184,intelligent shes,0.001829817296049112
183,intelligent,0.001829817296049112
391,starting,0.0018129776845914889
7,asking,0.0017919618156253105
494,youre looking,0.0017909114983090538
495,youre looking phone,0.0017909114983090538
251,looking phone,0.0017909114983090538
109,fall,0.0017891873156956934
44,brown,0.001781119797646849
329,regret,0.0017805040332468437
338,said im,0.001761887258542683
258,love gone,0.0017612033889036801
259,love gone cold,0.0017612033889036801
139,gone cold,0.0017612033889036801
58,child,0.0017535188322821218
468,wish,0.0017491203793518263
424,think somebody,0.001742324459888658
152,hate think somebody,0.001742324459888658
151,hate think,0.001742324459888658
150,hate,0.001742324459888658
316,plane,0.0017209144227094903
286,nice,0.0017204145690373647
393,straight,0.0017166654023050695
274,meant,0.0017155100232200552
496,youre meant,0.0017155100232200552
275,meant helping,0.0017155100232200552
158,helping,0.0017155100232200552
497,youre meant helping,0.0017155100232200552
46,capacity fucking,0.001713271799169168
77,dont capacity,0.001713271799169168
78,dont capacity fucking,0.001713271799169168
45,capacity,0.001713271799169168
128,fucking,0.001713271799169168
312,picking,0.0017035239394909462
140,gonna,0.0017025095716629852
465,white,0.0017022859868919664
255,love city,0.0016911820374478984
270,make stop,0.0016877570180203192
116,feet,0.0016858860963448329
336,room,0.0016820148479929882
304,outside,0.0016805115605062503
429,told need,0.0016638920236041875
349,save,0.0016547724218165855
244,living,0.0016533707764629887
204,just like,0.001651979969279651
287,nose,0.001645552900473424
434,touch,0.0016360577615647898
131,giving giving,0.0016331057371433292
172,im giving giving,0.0016331057371433292
368,shes appalled,0.001621303045136896
6,appalled,0.001621303045136896
319,playing,0.001614789275842046
135,god,0.001590783812493573
147,guess,0.0015883021342865359
205,just look,0.001576255834560961
264,mad,0.0015574763401139118
19,believe youre,0.0015352292352301198
149,guitar solo,0.0015314330747735433
380,solo,0.0015314330747735433
17,begging help,0.0015314330747735433
16,begging,0.0015314330747735433
148,guitar,0.0015314330747735433
157,help,0.0015314330747735433
348,sat,0.0015275160478855619
68,cried,0.0015275160478855619
415,thing,0.0014995698874174022
444,ve got,0.0014760225715951705
210,kids,0.0014682001731946056
195,ive lost,0.0014588070204533685
436,trying,0.001457998708879233
29,bit,0.0014481834450951444
108,face got,0.0014237167971393612
290,oh id love,0.0013972930498040348
289,oh id,0.0013972930498040348
291,oh id love paris,0.0013972930498040348
363,shed,0.001394307566106348
324,rearrange world,0.0013929333763209161
323,rearrange,0.0013929333763209161
14,beating chest,0.0013754273592614143
13,beating,0.0013754273592614143
378,socially relevant shes,0.0013633183999571833
333,relevant shes,0.0013633183999571833
334,relevant shes american,0.0013633183999571833
379,socially relevant shes american,0.0013633183999571833
314,picturing body,0.0013599245260996276
313,picturing,0.0013599245260996276
178,im picturing,0.0013599245260996276
179,im picturing body,0.0013599245260996276
35,body somebody,0.0013599245260996276
180,im picturing body somebody,0.0013599245260996276
315,picturing body somebody,0.0013599245260996276
425,think thats,0.0013599098077211615
340,said ive got,0.0013452865089139295
89,dont turn,0.0013443253885151503
90,dont turn big,0.0013443253885151503
91,dont turn big light,0.0013443253885151503
491,youre intertwining,0.0013406267767147417
187,intertwining,0.0013406267767147417
188,intertwining soul,0.0013406267767147417
189,intertwining soul somebody,0.0013406267767147417
493,youre intertwining soul somebody,0.0013406267767147417
492,youre intertwining soul,0.0013406267767147417
387,soul somebody,0.0013406267767147417
224,let,0.0013327356043919254
160,holding,0.0013245965821381412
382,song,0.0013214915794650364
144,gotta,0.0013114166114473326
114,feel feel,0.0012949657234792467
357,second time,0.0012875944110451831
395,taking,0.0012875944110451831
396,taking life,0.0012875944110451831
229,life second time,0.0012875944110451831
397,taking life second,0.0012875944110451831
228,life second,0.0012875944110451831
398,taking life second time,0.0012875944110451831
360,selling sex,0.0012463949906780297
11,baby know,0.0011807478709071652
63,cmon baby know,0.0011807478709071652
62,cmon baby,0.0011807478709071652
61,cmon,0.0011807478709071652
8,asking jesus,0.0011574009633105611
198,jesus,0.0011574009633105611
167,im asking,0.0011574009633105611
168,im asking jesus,0.0011574009633105611
30,bleeding,0.001148019339559121
42,broken,0.001148019339559121
43,broken bleeding,0.001148019339559121
169,im broken,0.001148019339559121
170,im broken bleeding,0.001148019339559121
273,matter lie,0.0011259633352556407
73,does matter,0.0011259633352556407
74,does matter lie,0.0011259633352556407
242,little recognize im,0.0011163074334244235
326,recognize,0.0011163074334244235
327,recognize im,0.0011163074334244235
328,recognize im giving,0.0011163074334244235
241,little recognize,0.0011163074334244235
240,little,0.0011163074334244235
243,little recognize im giving,0.0011163074334244235
433,took little recognize im,0.0011163074334244235
432,took little recognize,0.0011163074334244235
431,took little,0.0011163074334244235
418,thing thats going mind,0.0011124573039224188
498,youre thing,0.0011124573039224188
416,thing thats,0.0011124573039224188
407,thats going mind,0.0011124573039224188
406,thats going,0.0011124573039224188
499,youre thing thats,0.0011124573039224188
500,youre thing thats going,0.0011124573039224188
417,thing thats going,0.0011124573039224188
137,going mind,0.0011124573039224188
421,things wed like,0.0011037326496377755
420,things wed,0.0011037326496377755
464,wed like,0.0011037326496377755
482,youll youre,0.0011027358330768639
344,said liked,0.0010977715540402056
346,said liked better money,0.0010977715540402056
233,liked better,0.0010977715540402056
345,said liked better,0.0010977715540402056
232,liked,0.0010977715540402056
25,better money,0.0010977715540402056
235,liked better money lied,0.0010977715540402056
234,liked better money,0.0010977715540402056
281,money lied,0.0010977715540402056
226,lied,0.0010977715540402056
26,better money lied,0.0010977715540402056
219,lately,0.0010722426630147153
197,ive worried,0.0010722426630147153
343,said ive worried,0.0010722426630147153
474,worried,0.0010722426630147153
402,tell bout girl,0.0010585355794432148
401,tell bout,0.0010585355794432148
37,bout girl,0.0010585355794432148
322,reading,0.0009966563390399813
317,plane fame,0.0009966563390399813
112,fame,0.0009966563390399813
196,ive lost head,0.0009299890274671052
253,lost head,0.0009299890274671052
