,term,weight
247,thought id youre,0.00098001051706137
114,id youre dead,0.00098001051706137
113,id youre,0.00098001051706137
17,body dont,0.0008194519726707744
31,cause just dont eat,0.0008064700971174595
156,likes cause just dont,0.0008064700971174595
155,likes cause just,0.0008064700971174595
154,likes cause,0.0008064700971174595
135,just dont eat,0.0008064700971174595
30,cause just dont,0.0008064700971174595
52,dont eat,0.0008064700971174595
91,got fix,0.0007923771363189094
232,teeth,0.0007923771363189094
76,fix teeth,0.0007923771363189094
128,ive got fix,0.0007923771363189094
129,ive got fix teeth,0.0007923771363189094
206,says ive got fix,0.0007923771363189094
205,says ive got,0.0007923771363189094
204,says ive,0.0007923771363189094
92,got fix teeth,0.0007923771363189094
18,body dont want,0.000663353215686886
19,body dont want body,0.000663353215686886
56,dont want body dont,0.000663353215686886
269,want body dont,0.000663353215686886
270,want body dont want,0.000663353215686886
