,ngram,count
1366,and your mother's on,1
1365,friend and your mother's,1
1364,terrible friend and your,1
1463,sorting you out i,1
1381,along with your life?,1
1382,with your life? it's,1
1383,your life? it's alright,1
1384,life? it's alright yeah,1
1401,"23 "" she said",1
1400,"of 23 "" she",1
1399,"end of 23 """,1
1398,the end of 23,1
1458,one off adam if,1
1459,off adam if he's,1
1395,i'm coming to the,1
1394,"""well i'm coming to",1
1393,"2] ""well i'm coming",1
1392,"[verse 2] ""well i'm",1
1391,"alright [verse 2] ""well",1
1390,alright alright [verse 2],1
1460,adam if he's sorting,1
1461,if he's sorting you,1
1465,out i don't really,1
1422,you complain about life,1
1385,it's alright yeah it's,1
1421,can you complain about,1
1432,you just sit at,1
1453,the town so get,1
1480,for a way to,1
1482,way to get out,1
1483,to get out it's,1
1484,get out it's just,1
1485,out it's just a,1
1486,it's just a reflection,1
1487,just a reflection on,1
1488,a reflection on the,1
1489,reflection on the size,1
1490,on the size of,1
1491,the size of your,1
1492,size of your house,1
1493,of your house a,1
1436,pete's house playing video,1
1437,house playing video games,1
1438,playing video games doing,1
1439,video games doing sniff,1
1440,games doing sniff that,1
1441,doing sniff that you,1
1448,can't be picking up,1
1442,sniff that you can't,1
1443,that you can't afford,1
1444,you can't afford i,1
1447,i can't be picking,1
1446,afford i can't be,1
1445,can't afford i can't,1
1462,he's sorting you out,1
1362,you're a terrible friend,1
1481,a way to get,1
1479,looking for a way,1
1452,in the town so,1
1478,always looking for a,1
1451,up in the town,1
1450,picking up in the,1
1449,be picking up in,1
1466,i don't really care,1
1467,don't really care what,1
1468,really care what all,1
1469,care what all your,1
1470,what all your friends,1
1423,complain about life and,1
1424,about life and talk,1
1425,life and talk about,1
1426,and talk about being,1
1427,talk about being bored?,1
1428,about being bored? if,1
1429,being bored? if you,1
1430,bored? if you just,1
1431,if you just sit,1
1433,just sit at pete's,1
1434,sit at pete's house,1
1435,at pete's house playing,1
1471,all your friends were,1
1472,your friends were about,1
1473,friends were about i,1
1474,were about i was,1
1475,about i was always,1
1476,i was always looking,1
1477,was always looking for,1
1363,a terrible friend and,1
0,in jeans so new,1
1361,out you're a terrible,1
1360,found out you're a,1
1160,head of mine [chorus],1
1159,hazy head of mine,1
1158,this hazy head of,1
1157,opiate this hazy head,1
