Year,Personal Life,Controversies,Novels and novellas,Short story collections,Retrospectives and omnibus collections,Nonfiction,Video Games,TV,Cordwainer Bird,"Awards, Misc",Georges Melies Fantasy Film Award,Edgar Allen Poe Award,Bram Stoker Award,Hugo Award,Jupiter Award (Instructors of Science Fiction in Higher Education),Locus Poll Award,Nebula Award,Writers Guild of America,World Fantasy Award
2007,"Last public appearance in his hometown of Cleveland, Ohio, for the Midwestern debut of the documentary Dreams with Sharp Teeth at Cleveland Public Library",,,,,,,"Masters of Science Fiction        
""The Discarded""

Dreams with Sharp Teeth receives its first public screening at the Writers Guild Theatre in Los Angeles. ",,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2009,,Sues CBS Paramount Television.,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,
2011,,,,,The Glass Teat Omnibus: The Glass Teat and The Other Glass Teat ,,,,,"J. Lloyd Eaton Lifetime Achievement Award in Science Fiction
2011 recipient (Eaton Collection of Science Fiction and Fantasy, University of California–Riverside Libraries)",,,,,,,"""How Interesting: A Tiny Man"" (best short story, tied with Kij Johnson/""Ponies"" 2011)",,
2012,,,,"Pulling a Train 

Rough Beasts ",,,,,,,,,,,,,,,
2013,,,,"Getting in the Wind 

Honorable Whoredom at a Penny a Word ",,,,,,,,,,,,,,,
2014,"Suffers a stroke. Although his speech and cognition are unimpaired, he suffers paralysis on his right side.",,,"Again, Honorable Whoredom at a Penny a Word 

The Top of the Volcano: The Award-Winning Stories of Harlan Ellison 

8 in 80 ",The Top of the Volcano: The Award-winning Stories of Harlan Ellison (2014),Harlan Ellison's Endlessly Watching (2014),,,,,,,,,,,,,
2015,,,,Can & Can'tankerous ,"Fingerprints On the Sky: The Authorized Harlan Ellison Bibliography, The Illustrated Reader's Guide edited by Tim Richmond",,,,,"Prometheus Award
""""Repent, Harlequin!"" Said the Ticktockman"" (2015 Hall of Fame Inductee)",,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,"In an October 2017 piece in Wired, Ellison was dubbed ""Sci-Fi's Most Controversial Figure.""",,,,,,,,,
2018,Dies at his home in Los Angeles.,,Blood's a Rover,,,,,,,,,,,,,,,,
