OID,Country or Area,Year,Description,Magnitude,Value
19361A..ZF...,AUSTRALIA,1988,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,12.175
19361...ZF...,AUSTRALIA,1988,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,12.1042
12261...ZF...,AUSTRIA,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.86
12461...ZF...,BELGIUM,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.0075
15661A..ZF...,CANADA,1988,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,9.77167
15661...ZF...,CANADA,1988,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,10.2242
12861A..ZF...,DENMARK,1988,MORTGAGE BOND YIELD,PERCENT PER ANNU,11.2786
12861...ZF...,DENMARK,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.88417
64461...ZF...,ETHIOPIA,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5
16361...ZF...,EURO AREA,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.97096
81961...ZF...,FIJI,1988,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,9.33333
17261...ZF...,FINLAND,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.5575
13261...ZF...,FRANCE,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.08417
13461...ZF...,GERMANY,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.48917
17461...ZF...,GREECE,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.5617
25861...ZF...,GUATEMALA,1988,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
26861...ZF...,HONDURAS,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
17861...ZF...,IRELAND,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.47778
13661B..ZF...,ITALY,1988,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,10.5367
13661...ZF...,ITALY,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.8958
34361...ZF...,JAMAICA,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,20.4
15861...ZF...,JAPAN,1988,GOVENMENT BOND YIELD,PERCENT PER ANNU,4.27417
54261...ZF...,"KOREA, REPUBLIC OF",1988,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,13.0375
13761...ZF...,LUXEMBOURG,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.18083
67661...ZF...,MALAWI,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.5
55861...ZF...,NEPAL,1988,GOVT. SECURITIES DEV.-BONDS,PERCENT PER ANNU,13
13861...ZF...,NETHERLANDS,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.41583
35361...ZF...,NETHERLANDS ANTILLES,1988,GOVT.BONDS YIELD(MEDIUM&LONG),PERCENT PER ANNU,10.7425
19661...ZF...,NEW ZEALAND,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.4542
14261...ZF...,NORWAY,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.97
56461...ZF...,PAKISTAN,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.31667
18261...ZF...,PORTUGAL,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.1475
86261...ZF...,SAMOA,1988,GOVERNMENT BOND YIELD (7 YRS),PERCENT PER ANNU,13.5
81361...ZF...,SOLOMON ISLANDS,1988,COUPON RATE ON L.T.DEVELPT BONDS,PERCENT PER ANNU,12
19961...ZF...,SOUTH AFRICA,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.3717
18461...ZF...,SPAIN,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.7442
52461...ZF...,SRI LANKA,1988,GOVT BOND YIELD,PERCENT PER ANNU,11.4867
14461...ZF...,SWEDEN,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.3483
14661...ZF...,SWITZERLAND,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,4.14833
57861...ZF...,THAILAND,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.5
36961...ZF...,TRINIDAD AND TOBAGO,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.75833
74661...ZF...,UGANDA,1988,GOVERNMENT STOCKS TO 10 YEARS,PERCENT PER ANNU,38.5
11261A..ZF...,UNITED KINGDOM,1988,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,9.66
11261...ZF...,UNITED KINGDOM,1988,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,9.67583
11161A..ZF...,UNITED STATES,1988,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,8.25667
11161...ZF...,UNITED STATES,1988,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,8.84583
84661...ZF...,VANUATU,1988,GOVT. BOND YIELD RATE,PERCENT PER ANNU,9.5
29961...ZF...,"VENEZUELA, REP. BOL.",1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.8583
69861...ZF...,ZIMBABWE,1988,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14
19361A..ZF...,AUSTRALIA,1989,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,15.1417
19361...ZF...,AUSTRALIA,1989,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,13.4083
12261...ZF...,AUSTRIA,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.15333
12461...ZF...,BELGIUM,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.53917
15661A..ZF...,CANADA,1989,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,10.2033
15661...ZF...,CANADA,1989,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,9.92
12861A..ZF...,DENMARK,1989,MORTGAGE BOND YIELD,PERCENT PER ANNU,10.1622
12861...ZF...,DENMARK,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.70667
64461...ZF...,ETHIOPIA,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5
16361...ZF...,EURO AREA,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.6807
81961...ZF...,FIJI,1989,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,5.55583
17261...ZF...,FINLAND,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.0892
13261...ZF...,FRANCE,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.79667
13461...ZF...,GERMANY,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.89833
25861...ZF...,GUATEMALA,1989,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
26861...ZF...,HONDURAS,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
17861...ZF...,IRELAND,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.93583
13661B..ZF...,ITALY,1989,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,11.6125
13661...ZF...,ITALY,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.7858
34361...ZF...,JAMAICA,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,20.1667
15861...ZF...,JAPAN,1989,GOVENMENT BOND YIELD,PERCENT PER ANNU,5.05417
54261...ZF...,"KOREA, REPUBLIC OF",1989,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,14.7417
13761...ZF...,LUXEMBOURG,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.69917
67661...ZF...,MALAWI,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.5
55861...ZF...,NEPAL,1989,GOVT. SECURITIES DEV.-BONDS,PERCENT PER ANNU,13.1667
13861...ZF...,NETHERLANDS,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.21667
35361...ZF...,NETHERLANDS ANTILLES,1989,GOVT.BONDS YIELD(MEDIUM&LONG),PERCENT PER ANNU,10.6325
19661...ZF...,NEW ZEALAND,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.7775
14261...ZF...,NORWAY,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.835
56461...ZF...,PAKISTAN,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.18083
18261...ZF...,PORTUGAL,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.9433
86261...ZF...,SAMOA,1989,GOVERNMENT BOND YIELD (7 YRS),PERCENT PER ANNU,13.5
71861...ZF...,SEYCHELLES,1989,GOVERNMENT BOND RATE,PERCENT PER ANNU,14.75
81361...ZF...,SOLOMON ISLANDS,1989,COUPON RATE ON L.T.DEVELPT BONDS,PERCENT PER ANNU,12.4375
19961...ZF...,SOUTH AFRICA,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.9008
18461...ZF...,SPAIN,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.7025
52461...ZF...,SRI LANKA,1989,GOVT BOND YIELD,PERCENT PER ANNU,11.7133
14461...ZF...,SWEDEN,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.18
14661...ZF...,SWITZERLAND,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.1975
57861...ZF...,THAILAND,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.085
36961...ZF...,TRINIDAD AND TOBAGO,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.7683
74661...ZF...,UGANDA,1989,GOVERNMENT STOCKS TO 10 YEARS,PERCENT PER ANNU,45.3333
11261A..ZF...,UNITED KINGDOM,1989,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,10.7258
11261...ZF...,UNITED KINGDOM,1989,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,10.1908
11161A..ZF...,UNITED STATES,1989,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,8.5575
11161...ZF...,UNITED STATES,1989,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,8.49917
84661...ZF...,VANUATU,1989,GOVT. BOND YIELD RATE,PERCENT PER ANNU,8
29961...ZF...,"VENEZUELA, REP. BOL.",1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,17.3158
69861...ZF...,ZIMBABWE,1989,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14
19361A..ZF...,AUSTRALIA,1990,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,13.4625
19361...ZF...,AUSTRALIA,1990,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,13.18
12261...ZF...,AUSTRIA,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.765
12461...ZF...,BELGIUM,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.0067
15661A..ZF...,CANADA,1990,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,11.1925
15661...ZF...,CANADA,1990,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,10.8517
12861A..ZF...,DENMARK,1990,MORTGAGE BOND YIELD,PERCENT PER ANNU,10.9748
12861...ZF...,DENMARK,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.6292
64461...ZF...,ETHIOPIA,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5
16361...ZF...,EURO AREA,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.8663
81961...ZF...,FIJI,1990,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,6.22167
17261...ZF...,FINLAND,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.2958
13261...ZF...,FRANCE,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.9325
13461...ZF...,GERMANY,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.70417
25861...ZF...,GUATEMALA,1990,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
26861...ZF...,HONDURAS,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
17861...ZF...,IRELAND,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.0833
13661B..ZF...,ITALY,1990,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,11.8742
13661...ZF...,ITALY,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.5358
34361...ZF...,JAMAICA,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,25.4583
15861...ZF...,JAPAN,1990,GOVENMENT BOND YIELD,PERCENT PER ANNU,7.3625
54261...ZF...,"KOREA, REPUBLIC OF",1990,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,15.025
13761...ZF...,LUXEMBOURG,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.5225
67661...ZF...,MALAWI,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.5
55861...ZF...,NEPAL,1990,GOVT. SECURITIES DEV.-BONDS,PERCENT PER ANNU,13.5417
13861...ZF...,NETHERLANDS,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.92083
35361...ZF...,NETHERLANDS ANTILLES,1990,GOVT.BONDS YIELD(MEDIUM&LONG),PERCENT PER ANNU,10.7358
19661...ZF...,NEW ZEALAND,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.4633
14261...ZF...,NORWAY,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.7183
56461...ZF...,PAKISTAN,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.05167
18261...ZF...,PORTUGAL,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.4025
86261...ZF...,SAMOA,1990,GOVERNMENT BOND YIELD (7 YRS),PERCENT PER ANNU,13.5
71861...ZF...,SEYCHELLES,1990,GOVERNMENT BOND RATE,PERCENT PER ANNU,15.4
81361...ZF...,SOLOMON ISLANDS,1990,COUPON RATE ON L.T.DEVELPT BONDS,PERCENT PER ANNU,12.75
19961...ZF...,SOUTH AFRICA,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.1508
18461...ZF...,SPAIN,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.6775
52461...ZF...,SRI LANKA,1990,GOVT BOND YIELD,PERCENT PER ANNU,12.2025
14461...ZF...,SWEDEN,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.1592
14661...ZF...,SWITZERLAND,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.68
57861...ZF...,THAILAND,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.6042
36961...ZF...,TRINIDAD AND TOBAGO,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.73
74661...ZF...,UGANDA,1990,GOVERNMENT STOCKS TO 10 YEARS,PERCENT PER ANNU,44.5
11261A..ZF...,UNITED KINGDOM,1990,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,12.0767
11261...ZF...,UNITED KINGDOM,1990,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,11.8025
11161A..ZF...,UNITED STATES,1990,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,8.25417
11161...ZF...,UNITED STATES,1990,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,8.55
84661...ZF...,VANUATU,1990,GOVT. BOND YIELD RATE,PERCENT PER ANNU,8
29961...ZF...,"VENEZUELA, REP. BOL.",1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,20.0633
69861...ZF...,ZIMBABWE,1990,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.2417
19361A..ZF...,AUSTRALIA,1991,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,9.9375
19361...ZF...,AUSTRALIA,1991,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,10.6908
12261...ZF...,AUSTRIA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.55917
12461...ZF...,BELGIUM,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.28583
15661A..ZF...,CANADA,1991,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,9.1625
15661...ZF...,CANADA,1991,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,9.76417
12861A..ZF...,DENMARK,1991,MORTGAGE BOND YIELD,PERCENT PER ANNU,10.0883
12861...ZF...,DENMARK,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.26167
64461...ZF...,ETHIOPIA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5
16361...ZF...,EURO AREA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.1604
81961...ZF...,FIJI,1991,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,7.90333
17261...ZF...,FINLAND,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.6767
13261...ZF...,FRANCE,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.03667
13461...ZF...,GERMANY,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.45833
25861...ZF...,GUATEMALA,1991,RECONSTRUCTION BONOS(1976-77),PERCENT PER ANNU,8
26861...ZF...,HONDURAS,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
17861...ZF...,IRELAND,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.21083
13661B..ZF...,ITALY,1991,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,13.3728
13661...ZF...,ITALY,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.2825
34361...ZF...,JAMAICA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,26.3333
15861...ZF...,JAPAN,1991,GOVENMENT BOND YIELD,PERCENT PER ANNU,6.52583
54261...ZF...,"KOREA, REPUBLIC OF",1991,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,16.4583
13761...ZF...,LUXEMBOURG,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.15583
67661...ZF...,MALAWI,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.5
55861...ZF...,NEPAL,1991,GOVT. SECURITIES DEV.-BONDS,PERCENT PER ANNU,10
13861...ZF...,NETHERLANDS,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.73917
19661...ZF...,NEW ZEALAND,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.99583
14261...ZF...,NORWAY,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.8675
56461...ZF...,PAKISTAN,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.87667
18261...ZF...,PORTUGAL,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,14.5367
86261...ZF...,SAMOA,1991,GOVERNMENT BOND YIELD (7 YRS),PERCENT PER ANNU,13.5
71861...ZF...,SEYCHELLES,1991,GOVERNMENT BOND RATE,PERCENT PER ANNU,15.4
96161...ZF...,SLOVENIA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,181.8
81361...ZF...,SOLOMON ISLANDS,1991,COUPON RATE ON L.T.DEVELPT BONDS,PERCENT PER ANNU,12.9167
19961...ZF...,SOUTH AFRICA,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,16.3442
18461...ZF...,SPAIN,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.3608
52461...ZF...,SRI LANKA,1991,GOVT BOND YIELD,PERCENT PER ANNU,15.6775
14461...ZF...,SWEDEN,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.6925
14661...ZF...,SWITZERLAND,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.35
57861...ZF...,THAILAND,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.75
36961...ZF...,TRINIDAD AND TOBAGO,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.8525
74661...ZF...,UGANDA,1991,GOVERNMENT STOCKS TO 10 YEARS,PERCENT PER ANNU,42
11261A..ZF...,UNITED KINGDOM,1991,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,10.18
11261...ZF...,UNITED KINGDOM,1991,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,10.105
11161A..ZF...,UNITED STATES,1991,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,6.8125
11161...ZF...,UNITED STATES,1991,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.85833
84661...ZF...,VANUATU,1991,GOVT. BOND YIELD RATE,PERCENT PER ANNU,8
29961...ZF...,"VENEZUELA, REP. BOL.",1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,27.14
69861...ZF...,ZIMBABWE,1991,GOVERNMENT BOND YIELD,PERCENT PER ANNU,17.265
19361A..ZF...,AUSTRALIA,1992,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,7.605
19361...ZF...,AUSTRALIA,1992,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,9.22
12261...ZF...,AUSTRIA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.175
12461...ZF...,BELGIUM,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.65333
15661A..ZF...,CANADA,1992,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,7.43167
15661...ZF...,CANADA,1992,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,8.765
12861A..ZF...,DENMARK,1992,MORTGAGE BOND YIELD,PERCENT PER ANNU,10.1408
12861...ZF...,DENMARK,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.98667
64461...ZF...,ETHIOPIA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7
16361...ZF...,EURO AREA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.83023
81961...ZF...,FIJI,1992,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,8.10333
17261...ZF...,FINLAND,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.9733
13261...ZF...,FRANCE,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.5875
13461...ZF...,GERMANY,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.8475
26861...ZF...,HONDURAS,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
17661...ZF...,ICELAND,1992,GOVERNMENT BOND YIELD - 10 YEAR IND.,PERCENT PER ANNU,7.74917
17861...ZF...,IRELAND,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.07
13661B..ZF...,ITALY,1992,GOVT BOND YIELD: MEDIUM-TERM,PERCENT PER ANNU,13.6687
13661...ZF...,ITALY,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.2675
34361...ZF...,JAMAICA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,30.5
15861...ZF...,JAPAN,1992,GOVENMENT BOND YIELD,PERCENT PER ANNU,4.94417
54261...ZF...,"KOREA, REPUBLIC OF",1992,"YLD.ON NAT'L HOUSING BONDS,1&2",PERCENT PER ANNU,15.0833
13761...ZF...,LUXEMBOURG,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.91333
67661...ZF...,MALAWI,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,12.0417
72861...ZF...,NAMIBIA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.4417
55861...ZF...,NEPAL,1992,GOVT. SECURITIES DEV.-BONDS,PERCENT PER ANNU,13.325
13861...ZF...,NETHERLANDS,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.10083
19661...ZF...,NEW ZEALAND,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.86667
14261...ZF...,NORWAY,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,9.78417
56461...ZF...,PAKISTAN,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.1483
18261...ZF...,PORTUGAL,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.8317
86261...ZF...,SAMOA,1992,GOVERNMENT BOND YIELD (7 YRS),PERCENT PER ANNU,13.5
71861...ZF...,SEYCHELLES,1992,GOVERNMENT BOND RATE,PERCENT PER ANNU,14.8
96161...ZF...,SLOVENIA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,269.992
81361...ZF...,SOLOMON ISLANDS,1992,COUPON RATE ON L.T.DEVELPT BONDS,PERCENT PER ANNU,13
19961...ZF...,SOUTH AFRICA,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,15.44
18461...ZF...,SPAIN,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,11.6933
52461...ZF...,SRI LANKA,1992,GOVT BOND YIELD,PERCENT PER ANNU,16
14461...ZF...,SWEDEN,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.0192
14661...ZF...,SWITZERLAND,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,5.48
57861...ZF...,THAILAND,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.75
36961...ZF...,TRINIDAD AND TOBAGO,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13.2983
74661...ZF...,UGANDA,1992,GOVERNMENT STOCKS TO 10 YEARS,PERCENT PER ANNU,43.5
11261A..ZF...,UNITED KINGDOM,1992,GOVT BOND YIELD: SHORT-TERM,PERCENT PER ANNU,8.93583
11261...ZF...,UNITED KINGDOM,1992,GOVT BOND YIELD: LONG-TERM,PERCENT PER ANNU,9.06333
11161A..ZF...,UNITED STATES,1992,GOVT BOND YIELD: 3 YEAR,PERCENT PER ANNU,5.30667
11161...ZF...,UNITED STATES,1992,GOVT BOND YIELD: 10 YEAR,PERCENT PER ANNU,7.01
84661...ZF...,VANUATU,1992,GOVT. BOND YIELD RATE,PERCENT PER ANNU,8
29961...ZF...,"VENEZUELA, REP. BOL.",1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,31.6617
69861...ZF...,ZIMBABWE,1992,GOVERNMENT BOND YIELD,PERCENT PER ANNU,17.4
19361A..ZF...,AUSTRALIA,1993,TREASURY BONDS: 3 YEARS,PERCENT PER ANNU,6.20667
19361...ZF...,AUSTRALIA,1993,TREASURY BONDS: 15 YEARS,PERCENT PER ANNU,7.28083
12261...ZF...,AUSTRIA,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.705
12461...ZF...,BELGIUM,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.22833
15661A..ZF...,CANADA,1993,GOVT BOND YIELD 3-5 YEARS,PERCENT PER ANNU,6.45833
15661...ZF...,CANADA,1993,GOVERNMENT BOND YIELD > 10 YRS.,PERCENT PER ANNU,7.845
12861A..ZF...,DENMARK,1993,MORTGAGE BOND YIELD,PERCENT PER ANNU,8.17408
12861...ZF...,DENMARK,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,7.3025
64461...ZF...,ETHIOPIA,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,13
16361...ZF...,EURO AREA,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.42418
81961...ZF...,FIJI,1993,AVG SHT TRM GOVT BONDS RATE,PERCENT PER ANNU,7.25833
17261...ZF...,FINLAND,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,8.825
13261...ZF...,FRANCE,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.775
13461...ZF...,GERMANY,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,6.51083
17461...ZF...,GREECE,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,23.2725
26861...ZF...,HONDURAS,1993,GOVERNMENT BOND YIELD,PERCENT PER ANNU,10.4
